;mean;max;min
5;1.000351780863648;1.0;0.984441605182332
10;0.9978429749162993;1.0;0.951908101596668
15;0.9974698788205144;1.0;0.941945867714437
20;0.994347685390487;1.0;0.928791537203401
25;0.9933503855198476;1.0;0.9151416609230766
30;0.994512836171164;1.0;0.9331653088997947
35;0.9927584186699134;1.0;0.9298820798958625
40;0.9969606810761574;1.0;0.9473046467587374
45;0.9976590340493854;1.0;0.9369505820211478
