;mean;max;min
5;1.0003918326396228;0.9974661422537094;1.001205112343384
10;0.9917480509148084;0.9976521827845388;0.9708482679709737
15;0.9819728389281158;0.9952659879334298;0.9730329601170195
20;0.9808163346650501;0.9942758206749118;0.9677552419709647
25;0.9791694178005568;0.9954010517941485;0.9548170042947336
30;0.9761640871606674;0.991820681524374;0.9991089493398764
35;0.9549418813878073;0.9913622200626646;0.962703555910122
40;0.9372454287419228;0.981688446835198;0.9437236212066253
45;0.9363600657625564;0.9863187857993537;0.933439253136891
