;mean;max;min
5;0.9793951954016962;1.0004919527706946;0.9637173783225489
10;0.9570020869417262;0.996749531592301;0.9237013034172524
15;0.9574996101157031;0.9997264828305344;0.9076112646978206
20;0.9510592996628217;1.000255206736785;0.884309244237319
25;0.9413394880859177;0.9979696603628672;0.8725654482967679
30;0.9255490373865914;0.990785672507091;0.8891854641969958
35;0.9127697500474077;0.9937424278912225;0.8785124595480392
40;0.9261019048766858;0.9909809854993595;0.9110053703585811
45;0.9352610515877893;0.9913131416632919;0.89056120826008
