;mean;max;min
5;1.004034286849505;1.0;1.0251320248576052
10;1.003414845933174;1.0;1.0231318660131101
15;1.0018791144534773;0.9999029152748902;1.0163514411364114
20;1.0005121790863563;0.9999016180619269;1.0150233308144585
25;0.9938060706407635;0.9998354026516847;0.975530646404134
30;0.9981689679902596;0.9998465450339623;0.9942100808804101
35;1.0042059748429002;0.9999440930378615;1.0258481439788592
40;1.0041378735791333;0.9999419811505171;1.0257076429534038
45;1.002823885522367;0.9999120635778866;1.0216319320187857
