;resnet;simplecnn;knn
train_mse;0.03167611076983053;0.34546252551363477;0.0
train_accuracy;0.996268656716418;0.996268656716418;1.0
validation_mse;0.025410056004629415;0.34064726969775033;0.0
validation_accuracy;1.0;1.0;1.0
test_mse;0.02825327261927582;0.35025913090932936;0.0
test_accuracy;1.0;1.0;1.0
