;resnet;simplecnn;knn
train_mse;0.02975997870824146;0.06055185884526632;0.0
train_accuracy;0.987378640776699;0.983495145631068;1.0
validation_mse;0.03846672668424977;0.07614493000414944;0.12596899224806202
validation_accuracy;0.9941860465116279;0.9806201550387597;0.874031007751938
test_mse;0.05282546770151542;0.08075603249928226;0.13478260869565217
test_accuracy;0.9782608695652174;0.9717391304347827;0.8652173913043478
